finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,attempt_1_commands,attempt_1_scan_passed,attempt_1_success,attempt_1_error_summary,attempt_1_duration_s,attempt_1_scan_duration_s,attempt_2_commands,attempt_2_scan_passed,attempt_2_success,attempt_2_error_summary,attempt_2_duration_s,attempt_2_scan_duration_s,attempt_3_commands,attempt_3_scan_passed,attempt_3_success,attempt_3_error_summary,attempt_3_duration_s,attempt_3_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
package_aide_installed,Install AIDE,2,localhost,package_aide_installed,xccdf_org.ssgproject.content_rule_package_aide_installed,compliance,localhost.localdomain,True,low,"Installing the AIDE package is a standard, low-risk operation that does not affect authentication, networking, or critical system services.",False,,low,success,1,1,dnf install -y aide,True,True,,128.1881799697876,66.667,,,,,,,,,,,,,True,False,9,"Plan will resolve the vulnerability by installing aide if not already installed, with a sensible check for kernel-core presence.",No error handling for the dnf install command; if installation fails the plan will silently exit without reporting failure.,True,"Installing the aide package using dnf with a simple check for kernel-core presence is a standard, non‑destructive operation that does not modify configuration files or remove existing packages, and is unlikely to disrupt critical services such as sshd, auditd, firewalld, or networking.",DNF will refresh metadata and may install required dependencies for aide.; A brief yum/dnf lock could prevent other package managers from running concurrently.,False,Approve,2.8482961654663086,131.81786489486694,10,0,37.516,14378,3582,17960,0.001092,1,893,6.4e-05,3.598,7,14152,0.000652,28.297,1,1565,0.000253,2.779,1,1350,0.000123,2.843,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
aide_build_database,Build and Test AIDE Database,2,localhost,aide_build_database,xccdf_org.ssgproject.content_rule_aide_build_database,compliance,localhost.localdomain,True,low,"Initializing and updating the AIDE database is a routine security measure that does not affect authentication, networking, or critical services. It involves installing a package (if missing) and creating a database file, which is a low‑risk operation.",False,filesystems affected,low,success,1,1,rpm -q kernel-core; rpm -q aide; dnf install -y aide; dnf install -y aide; usr/sbin/aide --init; /usr/sbin/aide --init; cp -p /var/lib/aide/aide.db.new.gz /var/lib/aide/aide.db.gz,True,True,,265.46996808052063,72.06,,,,,,,,,,,,,True,False,8,"The plan correctly addresses the vulnerability by ensuring the AIDE package is installed, generating a new database, and copying it to the expected location with preserved attributes. It should be executed as root or with sudo to succeed.",No explicit error handling if aide init fails before the copy step; this could leave the system without a proper database file.,True,"The remediation installs the AIDE package if missing, initializes a new integrity database, and copies it to the expected location preserving attributes. None of the steps modify critical system services or authentication mechanisms, and the actions are part of normal AIDE setup. Therefore the plan is unlikely to cause outages, lockouts, or data loss.",,False,Approve,2.9628050327301025,266.6840341091156,17,0,39.027,90754,3210,93964,0.003304,1,1205,0.000179,1.192,14,89890,0.002916,27.921,1,1390,9e-05,6.957,1,1479,0.00012,2.956,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
aide_check_audit_tools,Configure AIDE to Verify the Audit Tools,2,localhost,aide_check_audit_tools,xccdf_org.ssgproject.content_rule_aide_check_audit_tools,compliance,localhost.localdomain,True,low,"The remediation involves installing the AIDE package if missing and adding or updating entries in /etc/aide.conf for audit tools, which is a straightforward configuration change that does not affect authentication, networking, or critical services.",False,filesystems affected; audit tool integrity,low,failed,,3,,False,False,,27.114033937454224,,,False,False,,35.25113797187805,,"rpm -q aide; grep -i ""auditctl"" -n /etc/aide.conf; test -f /usr/sbin/auditctl",False,False,,173.28909993171692,51.929,True,False,8,"The proposed plan now includes the missing /usr/sbin/ausearch rule, applies the full set of integrity checks including sha512, verifies the existence of each executable before adding a rule, preserves existing configuration entries, sets secure ownership/permissions, and rebuilds the AIDE database with aide --init. It therefore meets the remediation requirement. Minor refinements could improve safety and automation, but the plan would functionally resolve the vulnerability when executed correctly.","Potential accidental loss of unrelated configuration sections if a malformed replace operation mis‑identifies a line; No explicit backup of /etc/aide.conf before rewriting; The rule replacement logic assumes the current flag string is exact; variations in ordering or whitespace may cause unnecessary writes; No post‑init verification step (e.g., aide --check) to confirm the new rules are active",True,"The plan installs AIDE if absent, updates /etc/aide.conf with the required audit tool rules in a conservative, existence‑checked manner, preserves file ownership and permissions, and re‑initializes the AIDE database without altering any runtime services such as sshd, auditd, firewalld or networking. The changes are limited to the AIDE configuration and therefore are unlikely to disrupt critical services or lock out access.",Potential inadvertent removal of unrelated configuration lines in /etc/aide.conf if the replace logic mishandles existing entries (no explicit backup).,False,Approve,6.545409917831421,173.29625797271729,15,0,163.182,62215,18603,80818,0.00459,0,0,0.0,0.0,13,75418,0.004081,150.311,1,3066,0.000331,6.329,1,2334,0.000176,6.541,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
aide_scan_notification,Configure Notification of Post-AIDE Scan Details,2,localhost,aide_scan_notification,xccdf_org.ssgproject.content_rule_aide_scan_notification,compliance,localhost.localdomain,False,low,"Adding a cron job to send AIDE scan results via mail is a straightforward configuration change that does not affect authentication, networking services, or critical system components. It is unlikely to cause lockout or system breakage.",True,,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.305605173110962,1,0,2.297,960,308,1268,8.5e-05,1,1268,8.5e-05,2.297,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
aide_use_fips_hashes,Configure AIDE to Use FIPS 140-2 for Validating Hashes,2,localhost,aide_use_fips_hashes,xccdf_org.ssgproject.content_rule_aide_use_fips_hashes,compliance,localhost.localdomain,True,low,"Adding sha512 to the AIDE configuration is a straightforward configuration change that does not affect authentication, networking, or critical system services. It follows standard STIG hardening patterns and is unlikely to cause lockout or system breakage.",False,,low,failed,,3,,False,False,,11.331708908081055,,dnf install -y aide; sed -i '/^ALLXTRAHASHES /s/=.*/= sha512/' /etc/aide.conf,False,False,,164.5619010925293,24.532,,False,False,,44.07382416725159,,False,False,,"Review output was not valid JSON. Raw: {""finding_id"":""aide_use_fips_hashes"",""is_optimal"":false,""approve"":true,""feedback"":""The plan largely satisfies the requirement of ensuring only sha512 is used in AIDE rule groups and reinitiating the d...",Could not parse LLM response,,,,,,,44.07932186126709,2,0,44.058,3173,3306,6479,0.000558,0,0,0.0,0.0,1,3401,0.000301,23.032,1,3078,0.000257,21.026,0,0,0.0,0.0,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
enable_dracut_fips_module,Enable Dracut FIPS Module,3,localhost,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,localhost.localdomain,False,critical,Enabling FIPS mode on a pre‑existing RHEL 9 system is unsupported and can render the system inoperable. The rule indicates the finding is permanent and cannot be fixed without reinstalling or re‑installing with FIPS enabled at install time.,False,reboot required; authentication/authorization affected; FIPS mode activation; kernel boot parameter change; potential loss of bootability; system breakage,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.410228967666626,1,0,2.402,693,689,1382,0.000172,1,1382,0.000172,2.402,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
enable_fips_mode,Enable FIPS Mode,3,localhost,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires a kernel boot parameter (fips=1) and is not supported on an existing system; attempting to remediate can render the system unusable or permanently non-compliant. The change involves critical bootloader/kernel configuration and can affect all cryptographic operations, making it a high-risk modification.",False,reboot required; FIPS mode change; kernel boot parameter alteration; potential system instability; permanent finding on installed systems,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.092092037200928,1,0,7.084,821,534,1355,9.9e-05,1,1355,9.9e-05,7.084,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
fips_crypto_subpolicy,FIPS Must Use a Supported Subpolicy,2,localhost,fips_crypto_subpolicy,xccdf_org.ssgproject.content_rule_fips_crypto_subpolicy,compliance,localhost.localdomain,False,low,"The rule requires the system to use one of the allowed crypto subpolicies (OSPP, NO-SHA1, NO-CAMELLIA, ECDHE-ONLY). Changing the subpolicy is a configuration change that does not inherently lock out SSH or break critical services, and can be tested locally before deployment. The policy explicitly allows safe remediation for such configuration changes.",True,authentication/authorization affected; networking affected; Potential temporary loss of SSH connectivity if the new subpolicy disables ciphers currently in use,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.987051963806152,1,0,5.98,660,1383,2043,0.000279,1,2043,0.000279,5.98,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
fips_custom_stig_sub_policy,Implement STIG Sub Crypto Policy,2,localhost,fips_custom_stig_sub_policy,xccdf_org.ssgproject.content_rule_fips_custom_stig_sub_policy,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode via a custom crypto policy can lock out services, break compatibility, and may require a reboot. The policy explicitly marks FIPS changes as too dangerous to remediate without human review.",False,reboot required; authentication/authorization affected; networking affected; FIPS mode activation; SSH cipher changes; potential service breakage; system lockout,medium,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04184103012085,1,0,7.038,658,748,1406,0.000182,1,1406,0.000182,7.038,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,localhost,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding the fips=1 kernel boot parameter during installation; it cannot be enabled on a pre‑existing system without reinstalling or reconfiguring the bootloader, which is a high‑risk operation that may lock out the system or break critical services.",False,reboot required; authentication/authorization affected; Bootloader modification; System reboot required; Potential loss of SSH/console access; FIPS mode enforcement,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0572240352630615,1,0,2.048,735,545,1280,0.000133,1,1280,0.000133,2.048,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
