finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,attempt_1_commands,attempt_1_scan_passed,attempt_1_success,attempt_1_error_summary,attempt_1_duration_s,attempt_1_scan_duration_s,attempt_2_commands,attempt_2_scan_passed,attempt_2_success,attempt_2_error_summary,attempt_2_duration_s,attempt_2_scan_duration_s,attempt_3_commands,attempt_3_scan_passed,attempt_3_success,attempt_3_error_summary,attempt_3_duration_s,attempt_3_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
accounts_authorized_local_users,Only Authorized Local User Accounts Exist on Operating System,2,localhost,accounts_authorized_local_users,xccdf_org.ssgproject.content_rule_accounts_authorized_local_users,compliance,localhost.localdomain,False,medium,"This finding involves removing local user accounts, which could potentially lock out legitimate users or break system functionality if not carefully reviewed. The rule allows customization of authorized users via a regex variable, indicating that human judgment is needed to determine which accounts are truly unauthorized.",True,authentication/authorization affected; account_lockout; service_disruption,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
accounts_password_pam_dcredit,Ensure PAM Enforces Password Requirements - Minimum Digit Characters,2,localhost,accounts_password_pam_dcredit,xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,compliance,localhost.localdomain,True,low,"This finding modifies password complexity requirements by setting the dcredit parameter in pam_pwquality.conf. The remediation script follows standard STIG hardening patterns and only affects password policy, which is a common and safe configuration change that does not impact authentication mechanisms or system access.",False,authentication/authorization affected; password_policy; authentication,low,success,1,1,sed -i 's/^dcredit.*/dcredit = -1/' /etc/security/pwquality.conf,True,True,,242.10356640815735,122.892,,,,,,,,,,,,,,,,,,,,,,,,242.10356640815735,9,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
accounts_password_pam_enforce_root,Ensure PAM Enforces Password Requirements - Enforce for root User,2,localhost,accounts_password_pam_enforce_root,xccdf_org.ssgproject.content_rule_accounts_password_pam_enforce_root,compliance,localhost.localdomain,True,low,"This finding modifies a standard PAM password policy configuration file to enforce password complexity for the root user. The remediation script follows a safe pattern: it backs up the original file, appends the enforce_for_root parameter if not present, and cleans up. This is a common STIG hardening measure that does not affect SSH access, authentication mechanisms, networking, or filesystems. The change is limited to password policy enforcement and is unlikely to cause system breakage.",False,authentication/authorization affected,low,failed,,3,"test -f /etc/security/pwquality.conf && echo ""File exists"" || echo ""File does not exist""; grep -E ""^\s*enforce_for_root"" /etc/security/pwquality.conf || echo ""enforce_for_root not found""; sed -i '$a enforce_for_root=1' /etc/security/pwquality.conf; echo ""enforce_for_root=1"" >> /etc/security/pwquality.conf; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; ls -la /etc/security/pwquality.conf; printf '%s\n' ""enforce_for_root=1"" >> /etc/security/pwquality.conf; grep -E ""^\s*enforce_for_root"" /etc/security/pwquality.conf; tail -1 /etc/security/pwquality.conf",False,False,,1259.993024110794,124.259,"test -f /etc/security/pwquality.conf && echo ""exists"" || echo ""does not exist""; ls -la /etc/security/pwquality.conf; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.backup; grep -E ""^enforce_for_root"" /etc/security/pwquality.conf; sed -i '/^enforce_for_root/d' /etc/security/pwquality.conf; grep -v ""^enforce_for_root"" /etc/security/pwquality.conf > /tmp/pwquality_cleaned.conf; grep -E ""^enforce_for_root=1"" /etc/security/pwquality.conf && echo ""REMEDIATION_COMPLETE"" || echo ""REMEDIATION_FAILED""; authselect apply-changes; grep -E ""^enforce_for_root"" /etc/security/pwquality.conf; echo 'enforce_for_root=1' >> /etc/security/pwquality.conf",False,False,,1377.5457894802094,49.791,,False,False,,156.3833920955658,120.026,,,,,,,,,,,,2793.922205686569,8,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
accounts_password_pam_lcredit,Ensure PAM Enforces Password Requirements - Minimum Lowercase Characters,2,localhost,accounts_password_pam_lcredit,xccdf_org.ssgproject.content_rule_accounts_password_pam_lcredit,compliance,localhost.localdomain,True,low,"This finding modifies password complexity requirements by setting the lcredit parameter in pam_pwquality.conf. The remediation follows standard STIG hardening patterns for password policies and does not affect authentication mechanisms, networking, filesystems, or require a reboot. The change is limited to password complexity enforcement and is unlikely to cause lockout or system breakage.",False,password_policy; authentication_hardening,low,success,1,1,"ls -la /etc/security/pwquality.conf.d/ 2>/dev/null || echo ""Directory not found""; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.backup; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.backup && sed -i 's/^lcredit = 0$/lcredit = -1/' /etc/security/pwquality.conf; grep -E ""^lcredit"" /etc/security/pwquality.conf; echo ""Remediation completed successfully: lcredit set to -1"" && echo ""Backup created at: /etc/security/pwquality.conf.backup""; echo ""Remediation completed successfully: lcredit set to -1"" && echo ""Backup created at: /etc/security/pwquality.conf.backup""; echo ""Remediation completed successfully: lcredit set to -1"" && echo ""Backup created at: /etc/security/pwquality.conf.backup""",True,True,,1046.4260861873627,128.047,,,,,,,,,,,,,,,,,,,,,,,,1046.4260861873627,16,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
accounts_password_pam_minlen,Ensure PAM Enforces Password Requirements - Minimum Length,2,localhost,accounts_password_pam_minlen,xccdf_org.ssgproject.content_rule_accounts_password_pam_minlen,compliance,localhost.localdomain,True,low,"This finding adjusts the minimum password length requirement via pam_pwquality, a standard STIG hardening measure. The remediation script follows established patterns and does not modify authentication mechanisms that could cause lockout. It only changes a password complexity parameter.",False,authentication/authorization affected; Authentication; Password Policy,low,success,1,1,sed -i 's/# *minlen *=.*/minlen = 15/' /etc/security/pwquality.conf; sed -i '/^# Per : Set minlen = 15 in /etc/security/pwquality.conf$/d; /^minlen = 6$/d' /etc/security/pwquality.conf; sed -i '/^# Per : Set minlen = 15 in /etc/security/pwquality.conf$/d' /etc/security/pwquality.conf; sed -i '/^# Per : Set /d' /etc/security/pwquality.conf; sed -i '/^minlen = 6$/d' /etc/security/pwquality.conf,True,True,,1475.7630534172058,114.59,,,,,,,,,,,,,,,,,,,,,,,,1475.7630534172058,18,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
accounts_password_pam_ocredit,Ensure PAM Enforces Password Requirements - Minimum Special Characters,2,localhost,accounts_password_pam_ocredit,xccdf_org.ssgproject.content_rule_accounts_password_pam_ocredit,compliance,localhost.localdomain,True,low,"This finding enforces a standard password complexity requirement by setting the ocredit parameter in pam_pwquality.conf. The remediation script provided is a standard STIG hardening pattern that modifies password policy without affecting authentication mechanisms or system access. The change is limited to password complexity requirements and does not impact SSH access, console access, or critical services.",False,authentication/authorization affected; password_policy; authentication,low,success,1,1,rpm -q libpwquality; sed -i 's/^# *ocredit *=.*/ocredit = -1/; s/^ocredit *=.*/ocredit = -1/' /etc/security/pwquality.conf,True,True,,342.5068190097809,137.09,,,,,,,,,,,,,,,,,,,,,,,,342.5068190097809,10,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
accounts_password_pam_ucredit,Ensure PAM Enforces Password Requirements - Minimum Uppercase Characters,2,localhost,accounts_password_pam_ucredit,xccdf_org.ssgproject.content_rule_accounts_password_pam_ucredit,compliance,localhost.localdomain,True,low,"This finding modifies password complexity requirements by setting the ucredit parameter in pam_pwquality.conf. The remediation follows standard STIG hardening patterns for password policies and does not affect authentication mechanisms, networking, filesystems, or require a reboot. The change is limited to password complexity enforcement and is unlikely to cause lockout or system breakage.",False,authentication/authorization affected; password_policy; authentication,low,success,1,1,,True,True,"LLM API error 429: {""error"":{""message"":""Rate limit exceeded: free-models-per-min. "",""code"":429,""metadata"":{""headers"":{""X-RateLimit-Limit"":""20"",""X-RateLimit-Remaining"":""0"",""X-RateLimit-Reset"":""1775082600000""},""provider_name"":null}},""user_id"":""user_35GamuJcm8kTLrFPwUeBmFbmFiD""}",0.0,6.557,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
accounts_umask_etc_profile,Ensure the Default Umask is Set Correctly in /etc/profile,2,localhost,accounts_umask_etc_profile,xccdf_org.ssgproject.content_rule_accounts_umask_etc_profile,compliance,localhost.localdomain,True,low,"This finding involves setting the default umask in /etc/profile and related scripts, which is a standard security hardening measure. The remediation script follows the STIG pattern and only modifies umask settings without affecting authentication, networking, or critical system components.",False,low_severity; file_permissions,low,success,1,1,"grep -E '^[^#]*umask' /etc/profile; find /etc/profile.d/ -type f -name '*.sh' -or -name 'sh.local' | head -5; grep -rE '^[^#]*umask' /etc/profile.d/; sed -i -E ""s/^(\s*)umask\s+[0-7]+/\1umask 077/"" /etc/profile; grep -E '^[^#]*umask' /etc/profile; find /etc/profile.d/ -type f -name '*.sh' -exec sed -i -E ""s/^(\s*)umask\s+[0-7]+/\1umask 077/"" {} \;; grep -rE '^[^#]*umask' /etc/profile.d/ | grep -E '^[^#]*umask\s+077'; grep -E '^[^#]*umask' /etc/profile.d/sh.local; echo ""umask 077"" >> /etc/profile.d/sh.local; grep -rE '^[^#]*umask\s+077' /etc/profile*; grep -rE '^[^#]*umask' /etc/profile.d/ | grep -v '^[^#]*umask\s+077'",True,True,,1433.691722393036,5.948,,,,,,,,,,,,,,,,,,,,,,,,1433.691722393036,15,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
banner_etc_issue,Modify the System Login Banner,2,localhost,banner_etc_issue,xccdf_org.ssgproject.content_rule_banner_etc_issue,compliance,localhost.localdomain,True,low,"This finding involves modifying the system login banner in /etc/issue, which is a simple text file change. The remediation script follows standard STIG patterns and does not affect authentication, authorization, networking, filesystems, or require a reboot. The change is purely cosmetic and presents minimal risk.",False,,low,failed,,3,"echo ""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations; -At any time, the USG may inspect and seize data stored on this IS; -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose; -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy; -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details."" > /etc/issue",False,False,,418.47370052337646,120.035,"printf '%s\n' 'You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations; -At any time, the USG may inspect and seize data stored on this IS; -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose; -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy; -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.' > /etc/issue; wc -c /etc/issue; printf '%s\n' 'You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations; -At any time, the USG may inspect and seize data stored on this IS; -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose; -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy; -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.' > /etc/issue; cat > /etc/issue << 'EOF'
You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations; -At any time, the USG may inspect and seize data stored on this IS; -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose; -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy; -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.
EOF; head -n 1 /etc/issue; wc -c /etc/issue; printf '%s\n' 'You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations; -At any time, the USG may inspect and seize data stored on this IS; -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose; -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy; -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.' > /etc/issue; cat > /etc/issue << 'EOF'
You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations; -At any time, the USG may inspect and seize data stored on this IS; -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose; -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy; -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.
EOF",False,False,,1884.6882133483887,120.029,"head -n 1 /etc/issue; cat /etc/issue; cat /etc/issue; grep -q ""U.S. Government (USG) Information System"" /etc/issue && echo ""Banner contains required DoD text"" || echo ""Banner missing required DoD text""; grep -q ""communications on this IS are not private"" /etc/issue && echo ""Banner contains complete DoD requirements"" || echo ""Banner incomplete""; wc -l /etc/issue",False,False,,1368.7665719985962,107.835,,,,,,,,,,,,3671.9284858703613,18,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
chronyd_or_ntpd_set_maxpoll,Configure Time Service Maxpoll Interval,2,localhost,chronyd_or_ntpd_set_maxpoll,xccdf_org.ssgproject.content_rule_chronyd_or_ntpd_set_maxpoll,compliance,localhost.localdomain,True,low,"This finding involves configuring the maxpoll interval for time synchronization services (NTP or chrony). The remediation script provided is a standard configuration change that adds or modifies the maxpoll directive in the appropriate configuration files. This type of change is well-tested and follows standard STIG hardening patterns. It does not affect authentication, authorization, networking configuration, or filesystems in a way that would cause system breakage or lockout.",False,,low,success,2,2,"rpm -q chrony ntp; find /etc/chrony.d/ -name ""*.conf"" -type f; ls -la /etc/chrony.d/; echo ""No remediation needed - maxpoll 16 already configured on all pool directives in /etc/chrony.conf""",False,False,,732.0688638687134,120.015,systemctl status chronyd ntpd,True,True,,106.80576157569885,6.59,,,,,,,,,,,,,,,,,,838.8746254444122,8,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free,Varcser-a:trinity-large-preview-free
