finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,attempt_1_commands,attempt_1_scan_passed,attempt_1_success,attempt_1_error_summary,attempt_1_duration_s,attempt_1_scan_duration_s,attempt_2_commands,attempt_2_scan_passed,attempt_2_success,attempt_2_error_summary,attempt_2_duration_s,attempt_2_scan_duration_s,attempt_3_commands,attempt_3_scan_passed,attempt_3_success,attempt_3_error_summary,attempt_3_duration_s,attempt_3_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
enable_dracut_fips_module,Enable Dracut FIPS Module,3,localhost,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode on a pre‑existing RHEL 9 system is unsupported and requires boot‑time kernel configuration that cannot be applied safely without reinstalling the system. The change involves bootloader/kernel parameters and affects authentication, making it a high‑risk, high‑complexity modification.",False,reboot required; authentication/authorization affected; FIPS mode; bootloader/kernel flag; authentication impact; potential system lockout,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975705623626709,1,0,0.958,726,564,1290,0.000224,1,1290,0.000224,0.958,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
enable_fips_mode,Enable FIPS Mode,3,localhost,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires a kernel boot flag that is not supported on a running system; attempting to remediate on an installed system is a permanent finding and can break cryptographic operations, potentially locking out authentication and authorization services.",False,reboot required; authentication/authorization affected; Potential loss of SSH/console access due to cryptographic incompatibilities; System may become unusable if FIPS mode is forced on a non‑FIPS kernel; Requires full system reinstall or container rebuild,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.854743719100952,1,0,4.848,831,508,1339,0.000135,1,1339,0.000135,4.848,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,localhost,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding the fips=1 kernel boot parameter at installation time; it cannot be enabled on a running system and would require a full reinstall or major bootloader changes, which is beyond a simple remediation and poses a high risk of system breakage.",False,FIPS mode activation; bootloader modification; potential loss of system functionality,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15820050239563,1,0,5.146,737,567,1304,0.000143,1,1304,0.000143,5.146,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
installed_OS_is_vendor_supported,The Installed Operating System Is Vendor Supported,3,localhost,installed_OS_is_vendor_supported,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,compliance,localhost.localdomain,False,medium,"The finding indicates the operating system may not be supported by the vendor. Remediation typically requires evaluating the current OS version and potentially performing a major OS upgrade or migration, which can impact system stability, services, and configuration. This is a non-trivial change that should be planned and reviewed by a human operator.",True,reboot required; filesystems affected; Potential loss of SSH/console access if upgrade fails; Service disruption during OS migration; Compatibility issues with custom configurations,high,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.318979263305664,1,0,30.31,615,9718,10333,0.001974,1,10333,0.001974,30.31,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
partition_for_var_tmp,Ensure /var/tmp Located On Separate Partition,2,localhost,partition_for_var_tmp,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,compliance,localhost.localdomain,False,critical,Filesystem/partition/mount-option changes can break boot or services and should not be auto-remediated.,False,reboot required; filesystems affected; filesystems/partitioning; service disruption risk,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006298065185546875,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
ensure_redhat_gpgkey_installed,Ensure Red Hat GPG Key Installed,3,localhost,ensure_redhat_gpgkey_installed,xccdf_org.ssgproject.content_rule_ensure_redhat_gpgkey_installed,compliance,localhost.localdomain,True,low,"Importing the Red Hat GPG key is a standard, non‑disruptive operation that does not affect authentication, networking, or filesystem integrity. It follows the STIG recommendation and is unlikely to cause lockout or system breakage.",False,,low,failed,,1,rpm --import /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; rpm -qa gpg-pubkey; stat -c %a /etc/pki/rpm-gpg,False,False,,77.95157957077026,,,,,,,,,,,,,,False,False,3,"The plan lacks any actionable steps; it merely suggests no changes. If the key is already present and valid, no action is required, but if the key is missing or corrupted the plan will not remediate the vulnerability. The absence of verification or import commands makes it an incomplete remedy.",No command to import the GPG key is provided; No method to verify the key's existence or validity; The plan does not handle the case where the key is absent or invalid; Potentially leaves the system vulnerable if the key is not present,,,,,,,79.96083045005798,11,0,72.718,30854,7588,38442,0.002089,1,1326,0.000105,1.957,7,31890,0.001562,54.069,2,3530,0.00033,12.218,1,1696,9.3e-05,4.474,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
enable_authselect,Enable authselect,2,localhost,enable_authselect,xccdf_org.ssgproject.content_rule_enable_authselect,compliance,localhost.localdomain,True,low,Enabling authselect follows standard STIG hardening patterns for authentication and is unlikely to cause lockout or system breakage.,False,authentication/authorization affected; Potential misconfiguration could lock out users if an incorrect profile is selected,low,success,2,2,authselect current,False,False,,54.52182674407959,10.791,authselect list > /tmp/authselect_profiles; grep -i '^minimal$' /tmp/authselect_profiles; authselect current > /tmp/current_profile; readlink -f /etc/authselect/profile; mkdir -p /tmp/pam_backup; authselect select minimal --force; authselect apply-changes,True,True,,149.66006684303284,10.411,,,,,,,True,False,8,"The plan will correctly enable authselect with the minimal profile, create a backup, and avoid unnecessary changes. It addresses the vulnerability but could be improved for robustness and flexibility.","The plan hardcodes the 'minimal' profile name, which might not exist on all distributions and is not configurable via an environment variable.; There is no error handling after running `authselect select minimal --force`; a non‑zero exit code is not captured or acted upon.; If the 'minimal' profile is absent, the plan will proceed to step 7 and likely fail, but no explicit abort is performed.; No check verifies that the `authselect` command is installed before using it, potentially causing unhandled errors.; The use of `read_file /tmp/current_profile` is ambiguous; a simple `cat` or direct comparison would be clearer.",True,"The plan correctly backs up PAM configuration, checks if the desired 'minimal' profile is already in use, and applies the profile via authselect which is designed to manage PAM safely. The risk of service disruption is low on a standard Rocky Linux system, as authselect ensures compatibility with services like sshd, sudo, and login. Minor concerns include lack of error handling if the profile is missing or authselect command fails, but these are unlikely to cause catastrophic lockout on a default system. Therefore the remediation is considered safe and acceptable.","Creates a temporary backup of /etc/pam.d and /etc/security, potentially using disk space; If the minimal profile does not exist or authselect fails, subsequent commands may not apply the intended configuration",False,Approve,0.9055984020233154,149.67986178398132,18,0,135.939,49367,8843,58210,0.002962,0,0,0.0,0.0,16,53733,0.002422,131.901,1,2390,0.000255,3.134,1,2087,0.000285,0.904,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
banner_etc_issue,Modify the System Login Banner,2,localhost,banner_etc_issue,xccdf_org.ssgproject.content_rule_banner_etc_issue,compliance,localhost.localdomain,True,low,"Changing the /etc/issue banner is a straightforward text file modification that does not affect authentication mechanisms, networking, or critical services. It follows standard STIG hardening patterns and poses no risk of lockout or system breakage.",False,filesystems affected; None,low,failed,,1,,False,False,,24.848204851150513,,,,,,,,,,,,,,False,False,4,"The script as presented does not contain the essential step to write the revised banner text back to /etc/issue, nor does it handle multiple platform variations or preserve the original file. As such, running it would not reliably resolve the vulnerability.",Missing file write operation to /etc/issue; Incomplete regex transformation logic; No backup or restore of original banner; No handling for varying default banner formats; Lack of validation or testing steps,,,,,,,25.571959495544434,3,0,25.535,3155,1450,4605,0.000391,1,1313,0.000165,0.711,1,1450,8.6e-05,8.108,1,1842,0.00014,16.716,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
accounts_password_pam_dcredit,Ensure PAM Enforces Password Requirements - Minimum Digit Characters,2,localhost,accounts_password_pam_dcredit,xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,compliance,localhost.localdomain,True,low,Standard PAM password policy change that enforces digit usage; follows STIG hardening patterns and does not affect critical services or system boot.,False,authentication/authorization affected; Potential user lockout if policy too strict; Requires users to change passwords,low,failed,,2,"sed -i -E ""s|^\s*#?\s*dcredit\s*=\s*[^#\n]*|dcredit = -1|"" /etc/security/pwquality.conf; ls /etc/security/pwquality.conf.d/*.conf 2>/dev/null",False,False,,91.62362051010132,10.977,,False,False,,98.57766628265381,,,,,,,,False,False,5,"The plan operates only on /etc/security/pwquality.conf and ignores any drop‑in files that may exist, so it could fail to enforce the setting if a fragment overrides it. It also lacks a final verification step and does not address escaping or idempotency of the deletion regex fully.",Drop‑in directory not inspected – a local dcredit setting could override the main file.; No verification after modification – risk of silent failure.; Regex may not safely handle all comment styles and special characters.; No handling of possible multi‑instance sed errors or non‑existent file.; Missing parameter escaping could cause mis‑interpretation if config contains special patterns.,,,,,,,98.59642601013184,3,0,98.568,4811,3817,8628,0.000679,0,0,0.0,0.0,2,6026,0.000453,66.94,1,2602,0.000225,31.627,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
accounts_password_pam_dictcheck,Ensure PAM Enforces Password Requirements - Prevent the Use of Dictionary Words,2,localhost,accounts_password_pam_dictcheck,xccdf_org.ssgproject.content_rule_accounts_password_pam_dictcheck,compliance,localhost.localdomain,True,low,"The remediation involves editing the PAM password quality configuration to enable dictionary word checking, a standard STIG hardening step that does not affect core services or risk lockout.",False,authentication/authorization affected; Enforced password policy may reject existing passwords that contain dictionary words,low,success,2,2,mkdir -p /etc/security/pwquality.conf.d; ls /etc/security/pwquality.conf.d/*.conf; echo 'dictcheck = 1' >> /etc/security/pwquality.conf.d/10-minlen.conf; echo 'dictcheck = 1' >> /etc/security/pwquality.conf.d/10-ocredit.conf,False,False,,107.32588481903076,10.194,"cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; sed -i '/^\s*#\?\s*dictcheck/d; $ a dictcheck = 1' /etc/security/pwquality.conf; rpm -q libpwquality; grep -R ""pam_pwquality.so"" /etc/pam.d | wc -l",True,True,,210.02345252037048,10.615,,,,,,,True,False,7,"The plan will enable dictionary word checking by ensuring ""dictcheck = 1"" in /etc/security/pwquality.conf. However it lacks several best‑practice steps such as verifying the presence of the libpwquality package, checking that pam_pwquality.so is actually invoked in the system PAM stack, backing up the original file, and handling potential multiple config files in /etc/security/pwquality.conf.d. These omissions do not render the fix ineffective, but they can lead to incomplete hardening or accidental misconfiguration.",Does not verify libpwquality package is installed.; Does not confirm pam_pwquality.so is present in the PAM stack.; No backup of original pwquality.conf.; Ignores /etc/security/pwquality.conf.d if used as an include.; No error handling for missing /etc/security/pwquality.conf file.; Does not handle encrypted or non‑ASCII characters in config context.; No check for existing multi‑line comments that might affect the sed replacement.,True,"The proposed sed-based edit will correctly add or replace the dictcheck setting in /etc/security/pwquality.conf, enabling dictionary word checks for pam_pwquality. This change only affects authentication mechanisms; it does not modify system services, networking, or root login unless a user’s password is a dictionary word. No critical services are directly impacted, and the fix addresses the vulnerability without introducing significant risk of outage or lockout.",Potential login failures for users whose passwords are dictionary words; they will need to change passwords to comply.,False,Investigate,4.952230215072632,210.0455026626587,16,0,196.239,47025,11544,58569,0.003149,0,0,0.0,0.0,14,54402,0.002743,188.06,1,2237,0.000231,3.235,1,1930,0.000174,4.944,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
