finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,attempt_1_commands,attempt_1_scan_passed,attempt_1_success,attempt_1_error_summary,attempt_1_duration_s,attempt_1_scan_duration_s,attempt_2_commands,attempt_2_scan_passed,attempt_2_success,attempt_2_error_summary,attempt_2_duration_s,attempt_2_scan_duration_s,attempt_3_commands,attempt_3_scan_passed,attempt_3_success,attempt_3_error_summary,attempt_3_duration_s,attempt_3_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
enable_dracut_fips_module,Enable Dracut FIPS Module,3,localhost,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,localhost.localdomain,False,medium,"Enabling FIPS mode requires modification of the dracut configuration, which is not supported on preexisting systems. This involves adding a module to the dracut configuration, which requires human intervention to ensure correct setup.",True,filesystems affected; FIPS mode cannot be enabled on preexisting systems without human intervention; Incorrect configuration could lead to system boot issues,high,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.894871234893799,1,0,5.871,614,188,802,6.6e-05,1,802,6.6e-05,5.871,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
enable_fips_mode,Enable FIPS Mode,3,localhost,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode on a preexisting system is not supported and requires booting the installer with specific kernel flags, which involves extensive validation and potential system-wide changes.",False,reboot required; filesystems affected; Permanent finding if FIPS mode is not enabled at installation; Potential system-wide changes required for enabling FIPS mode,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.625773191452026,1,0,4.607,748,168,916,7.2e-05,1,916,7.2e-05,4.607,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,localhost,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode on a preexisting system is not supported, requiring system installation with specific kernel parameters.",False,filesystems affected; System running in non-FIPS mode; FIPS mode not enabled during installation,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.355388641357422,1,0,6.343,656,167,823,6.6e-05,1,823,6.6e-05,6.343,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
installed_OS_is_vendor_supported,The Installed Operating System Is Vendor Supported,3,localhost,installed_OS_is_vendor_supported,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,compliance,localhost.localdomain,True,low,"The installed OS is vendor-supported, which means security patches are provided by the vendor, making remediation straightforward and unlikely to cause system breakage.",False,,low,failed,,3,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,34.923,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,50.534,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,26.033,,,,,,,,,,,,0.6905109882354736,1,1,0.675,0,0,0,0.0,0,0,0.0,0.0,1,0,0.0,0.675,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
partition_for_var_tmp,Ensure /var/tmp Located On Separate Partition,2,localhost,partition_for_var_tmp,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,compliance,localhost.localdomain,False,critical,Filesystem/partition/mount-option changes can break boot or services and should not be auto-remediated.,False,reboot required; filesystems affected; filesystems/partitioning; service disruption risk,high,discarded,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07411479949951172,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
accounts_authorized_local_users,Only Authorized Local User Accounts Exist on Operating System,2,localhost,accounts_authorized_local_users,xccdf_org.ssgproject.content_rule_accounts_authorized_local_users,compliance,localhost.localdomain,True,low,"The remediation involves simple user account management, which is unlikely to cause system breakage or loss of SSH/console access.",False,authentication/authorization affected; Presence of unauthorized user accounts; Potential administrative-level actions by normal users,low,failed,,3,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,24.59,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,23.691,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,24.092,,,,,,,,,,,,0.703575611114502,1,1,0.622,0,0,0,0.0,0,0,0.0,0.0,1,0,0.0,0.622,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
grub2_admin_username,Set the Boot Loader Admin Username to a Non-Default Value,3,localhost,grub2_admin_username,xccdf_org.ssgproject.content_rule_grub2_admin_username,compliance,localhost.localdomain,True,low,"The remediation involves a simple configuration edit to change the superuser account name in the grub2 configuration, which is unlikely to cause lockout or system breakage.",False,Using a default superuser account name like 'root' can be a security risk.,low,failed,,3,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,26.166,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,47.824,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,29.15,,,,,,,,,,,,2.030203342437744,1,1,2.008,0,0,0,0.0,0,0,0.0,0.0,1,0,0.0,2.008,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
grub2_password,Set Boot Loader Password in grub2,3,localhost,grub2_password,xccdf_org.ssgproject.content_rule_grub2_password,compliance,localhost.localdomain,True,low,Setting a boot loader password in grub2 is a standard security hardening measure that follows STIG guidelines and is unlikely to cause system lockout or breakage.,False,reboot required; authentication/authorization affected; plaintext password exposure,low,failed,,3,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,25.976,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,28.869,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,34.506,,,,,,,,,,,,0.8841454982757568,1,1,0.868,0,0,0,0.0,0,0,0.0,0.0,1,0,0.0,0.868,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
network_configure_name_resolution,Configure Multiple DNS Servers in /etc/resolv.conf,2,localhost,network_configure_name_resolution,xccdf_org.ssgproject.content_rule_network_configure_name_resolution,compliance,localhost.localdomain,True,low,The configuration of multiple DNS servers in /etc/resolv.conf is a standard practice for redundancy and does not involve risks of lockout or system breakage.,False,networking affected,low,failed,,3,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,25.51,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,23.23,,False,False,"LLM API error 404: {""error"":{""message"":""No endpoints found that support tool use. Try disabling \""review_plan\"". To learn more about provider routing, visit: https://openrouter.ai/docs/guides/routing/provider-selection"",""code"":404}}",0.0,24.274,,,,,,,,,,,,0.8408071994781494,1,1,0.825,0,0,0,0.0,0,0,0.0,0.0,1,0,0.0,0.825,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
sysctl_user_max_user_namespaces_no_remediation,Disable the use of user namespaces,2,localhost,sysctl_user_max_user_namespaces_no_remediation,xccdf_org.ssgproject.content_rule_sysctl_user_max_user_namespaces_no_remediation,compliance,localhost.localdomain,False,medium,"The setting of user.max_user_namespaces to 0 could impact container deployment, requiring careful review to avoid system breakage.",True,filesystems affected; Potential impact on container deployment; Need for persistent configuration changes,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.493068218231201,1,0,4.481,581,189,770,6.4e-05,1,770,6.4e-05,4.481,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4,microsoft/phi-4
