finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,remedy_commands_executed,remedy_scan_passed,remedy_success,remedy_error_summary,remedy_attempt_duration_s,remedy_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
enable_dracut_fips_module,Enable Dracut FIPS Module,3,localhost,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,localhost.localdomain,False,critical,"Enabling the dracut FIPS module modifies the initramfs to enforce FIPS mode, which is not supported on an already‑installed RHEL 9 system. Applying the change can render the system unbootable and cause loss of SSH/console access, so remediation is considered too risky.",False,reboot required; authentication/authorization affected; potential boot failure; loss of remote access; system instability; non‑supported configuration on existing install,high,discarded,,0,,,,,,,,,,,,,,,,,,5.183383941650391,1,0,5.164,693,601,1294,0.000465,1,1294,0.000465,5.164,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
enable_fips_mode,Enable FIPS Mode,3,localhost,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding a kernel boot parameter (fips=1) and changing the system-wide cryptographic policy. This change is not supported on an already installed RHEL 9 system and can render the system unbootable or cause critical services to fail, leading to potential lockout. The policy explicitly classifies FIPS changes as too dangerous to remediate automatically.",False,reboot required; authentication/authorization affected; Potential boot failure; System-wide cryptographic policy change; Possible loss of SSH/console access; Service disruption due to incompatible crypto modules,high,discarded,,0,,,,,,,,,,,,,,,,,,13.372645854949951,1,0,13.367,831,661,1492,0.000579,1,1492,0.000579,13.367,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,localhost,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,localhost.localdomain,False,medium,"LLM triage failed; defaulting to requires_human_review. Last error: Validation/JSON error with openai/gpt-oss-120b: 1 validation error for _LLMVerdict touches_filesystems Input should be a valid boolean, unable to interpret input [type=bool_parsing, input_value='⌒', input_type=str] For further information visit https://errors.pydantic.dev/2.12/v/bool_parsing",True,triage automation failure,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,19.3617262840271,1,0,19.324,740,235,975,0.000143,1,975,0.000143,19.324,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
installed_OS_is_vendor_supported,The Installed Operating System Is Vendor Supported,3,localhost,installed_OS_is_vendor_supported,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,compliance,localhost.localdomain,False,medium,"Remediation requires upgrading or migrating the operating system to a vendor-supported release, which is a major change that can impact services, compatibility, and may cause downtime. This necessitates planning, testing, and coordination, thus a human review is required before proceeding.",True,reboot required; Potential service disruption during OS upgrade; Compatibility issues with existing applications; Possible loss of SSH or console access if network or boot configuration changes; Need for system reboot,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,14.45832896232605,1,0,14.446,607,737,1344,0.000164,1,1344,0.000164,14.446,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
partition_for_var_tmp,Ensure /var/tmp Located On Separate Partition,2,localhost,partition_for_var_tmp,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,compliance,localhost.localdomain,False,critical,Filesystem/partition/mount-option changes can break boot or services and should not be auto-remediated.,False,reboot required; filesystems affected; filesystems/partitioning; service disruption risk,high,discarded,,0,,,,,,,,,,,,,,,,,,0.005482673645019531,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
ensure_redhat_gpgkey_installed,Ensure Red Hat GPG Key Installed,3,localhost,ensure_redhat_gpgkey_installed,xccdf_org.ssgproject.content_rule_ensure_redhat_gpgkey_installed,compliance,localhost.localdomain,True,low,"The remediation only imports a trusted GPG key and verifies directory permissions, which does not affect authentication, networking, or critical services. It is a standard STIG step for package verification and poses minimal risk of lockout or system breakage.",False,filesystems affected; Package verification failures if key is missing; Inability to install or update Red Hat packages,low,failed,,3,"dnf install -y wget; dnf install -y gnupg2; cp /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release.bak; gpg --with-fingerprint /tmp/RPM-GPG-KEY-redhat-release | grep -i ""567E347AD0044ADE55BA8A5F199E2F91FD431D51""; wget --quiet --output-document=/tmp/RPM-GPG-KEY-redhat-release https://www.redhat.com/security/fingerprint/RPM-GPG-KEY-redhat-release; gpg --with-fingerprint /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; gpg --with-fingerprint --with-colons /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; chown root:root /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; stat -c ""%a %U %G"" /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; stat -c ""%a %U %G"" $(dirname /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release); restorecon -v /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release; rpm --import /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release",False,False,,175.99374389648438,93.323,False,False,,,,,,,,,,176.00593042373657,20,0,141.463,127187,8468,135655,0.010647,0,0,0.0,0.0,19,133273,0.010457,137.415,1,2382,0.000189,4.049,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
enable_authselect,Enable authselect,2,localhost,enable_authselect,xccdf_org.ssgproject.content_rule_enable_authselect,compliance,localhost.localdomain,True,low,"Enabling authselect is a standard STIG hardening step for PAM authentication. The remediation script performs checks and applies the selected profile without requiring a reboot. While an incorrect profile could lock out users, the risk is limited and can be mitigated with pre‑validation, so it is classified as safe to remediate.",False,authentication/authorization affected; potential authentication lockout if profile is misconfigured; possible disruption of PAM modules,low,success,1,1,authselect current; authselect list; date +%s; cp -a /etc/authselect /etc/authselect.backup.1774851967; rpm -q sssd; ls -l /etc/pam.d/system-auth; authselect select custom/hardening,True,True,,116.35239863395691,105.77,True,False,8,"The plan will enable authselect by forcing the 'sssd' profile, which satisfies the requirement. However, forcing a profile without prior validation can lock out users if the sssd stack is not configured or the profile does not exist. Adding a backup of the current authselect configuration and confirming the presence and proper configuration of the sssd service would make the remediation safer.","Using '--force' may overwrite existing custom PAM settings, potentially breaking authentication if the 'sssd' profile is incompatible with the system.; If the 'sssd' package or service is not installed/configured, the system could become inaccessible.; No backup of the current authselect configuration is performed before the change.",False,"Forcing a generic 'sssd' authselect profile can overwrite existing custom PAM configurations and break authentication, potentially locking out SSH and other services that rely on PAM. Without confirming that the ssd…",Possible loss of existing custom PAM settings; Authentication failures for local and remote logins; Potential SSH lockout,False,Investigate,5.650654554367065,130.84453511238098,16,0,117.315,28773,5277,34050,0.002174,1,1309,0.000134,14.029,13,29980,0.001762,82.614,1,1546,0.00016,15.022,1,1215,0.000119,5.649,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
banner_etc_issue,Modify the System Login Banner,2,localhost,banner_etc_issue,xccdf_org.ssgproject.content_rule_banner_etc_issue,compliance,localhost.localdomain,True,low,"The remediation only requires editing /etc/issue to replace the banner text. This is a straightforward file modification that does not affect authentication mechanisms, networking, or boot processes, and it carries no risk of locking out SSH or console access.",False,filesystems affected,low,failed,,3,cp -p /etc/issue /etc/issue.bak; cp -p /etc/issue.net /etc/issue.net.bak,False,False,,113.18629622459412,93.323,False,False,,"The plan updates /etc/issue but uses a truncated DoD banner, does not guarantee the full required disclaimer, and verification is vague. It also may not preserve original ownership and lacks explicit checks that the backup succeeded before overwriting.",Banner text is incomplete and may not satisfy the DoD compliance requirement.; Verification step only reads the file back; it does not compare content to the expected banner.; Backup using install -b -m 644 sets mode but may not preserve original ownership or SELinux context.; No explicit check that the backup file was created successfully before overwriting the original.; Potential omission of updating /etc/issue.net if required for remote logins.,,,,,,,113.21168541908264,12,0,102.497,44213,5312,49525,0.004026,0,0,0.0,0.0,11,46576,0.003783,79.463,1,2949,0.000244,23.035,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
accounts_password_pam_dcredit,Ensure PAM Enforces Password Requirements - Minimum Digit Characters,2,localhost,accounts_password_pam_dcredit,xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,compliance,localhost.localdomain,True,low,"The remediation only modifies the PAM pwquality configuration to require at least one digit in passwords. This is a standard STIG hardening step, does not affect bootloader, kernel, or filesystem layout, and is unlikely to lock out administrators if tested on a non‑critical account first.",False,authentication/authorization affected; weak password policy; non‑compliance with STIG,low,success,1,1,"cat /etc/security/pwquality.conf; ls -1 /etc/security/pwquality.conf.d 2>/dev/null || echo 'none'; cat /etc/security/pwquality.conf.d/10-minlen.conf; echo 'dcredit = -1' >> /etc/security/pwquality.conf; grep -R ""dcredit"" -n /etc/security/pwquality.conf.d 2>/dev/null || true; cat /etc/security/pwquality.conf; sed -i 's/ocredit = -1dcredit = -1/ocredit = -1\ndcredit = -1/' /etc/security/pwquality.conf; cat /etc/security/pwquality.conf",True,True,,78.90598130226135,105.77,True,False,8,"The plan will set dcredit = -1, which satisfies the requirement to enforce at least one digit in passwords. However, the grep pattern uses a basic regex that may not correctly detect existing lines, and the approach does not consider possible overrides in /etc/security/pwquality.conf.d/*.conf files. Minor adjustments are recommended but the core remediation will work.","The grep pattern '^
*#?
* dcredit' is not a valid basic regex; '?' is treated literally, so existing commented lines may not be detected.; If the existing dcredit line is not found due to the regex issue, the script will append a duplicate entry, which could cause confusion.; The plan only modifies /etc/security/pwquality.conf and ignores potential overrides in pwquality.conf.d directories that might supersede the setting.",True,Setting dcredit = -1 in pwquality.conf enforces the required digit rule without altering service configurations; it only tightens password complexity and is unlikely to cause service failures or lockouts.,"If the grep pattern fails, a duplicate dcredit line may be appended, which could cause confusion but does not break PAM functionality.; Password changes will now require at least one numeric digit, which may require users to update weak passwords.",False,Approve,4.138248682022095,85.4619357585907,17,0,70.396,39182,3728,42910,0.00239,1,1288,0.000229,6.076,14,37989,0.001813,47.878,1,1892,0.000186,12.306,1,1741,0.000162,4.135,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
accounts_password_pam_dictcheck,Ensure PAM Enforces Password Requirements - Prevent the Use of Dictionary Words,2,localhost,accounts_password_pam_dictcheck,xccdf_org.ssgproject.content_rule_accounts_password_pam_dictcheck,compliance,localhost.localdomain,True,low,"The remediation only edits PAM pwquality configuration to set or clear the 'dictcheck' option. This is a standard password‑policy change that does not affect system boot, networking, or critical services, and it does not risk locking out existing users. Therefore it fits the policy for safe remediation.",False,authentication/authorization affected; Potential password change rejections if users choose dictionary words; Requires careful syntax when editing pwquality.conf files,low,success,1,1,"ls -R /etc/security; ls /etc/security/pwquality.conf.d; grep -R ""^\s*#\?\s*dictcheck"" -n /etc/security/pwquality.conf /etc/security/pwquality.conf.d || true; sed -i '$a\dictcheck = 1' /etc/security/pwquality.conf",True,True,,93.8175859451294,105.77,True,False,8,"The plan correctly sets dictcheck = 1 in the pwquality configuration, which will satisfy the OpenSCAP rule. It safely edits the file with sed and handles both existing and missing keys. However, it targets only /etc/security/pwquality.conf and does not consider .conf files in /etc/security/pwquality.conf.d/, which the original script intended to clean. Adding handling for those directories would make the remediation more complete.","Only modifies /etc/security/pwquality.conf, ignoring possible overrides in pwquality.conf.d/; The sed append syntax may cause a stray newline issue on some sed versions",True,"The remediation only edits a PAM password‑quality configuration file to enable dictcheck=1. This strengthens password policy without altering PAM stack ordering or disabling any modules, so authentication and critical services remain functional. The only impact is that future password changes may be rejected if they contain dictionary words, which is an expected security effect, not a system outage.","Password changes that contain dictionary words will be rejected, causing possible user inconvenience; Existing pwquality.conf.d files are not modified, so overrides could still exist",False,Approve,7.652713775634766,95.39651799201965,16,0,83.355,30193,4115,34308,0.002191,1,1192,0.000212,1.553,13,30009,0.001614,59.248,1,1331,0.000169,14.906,1,1776,0.000197,7.65,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
