ID,Sprint #,Epic title,Persona,Requirement,Value,Priority,Acceptance Criteria,User acceptance,Result,Comments
1,1,Single-finding and multi-finding orchestration,System Administrator,"Have the codebase organized into shared folders (/helpers, /agents, /workflow, /aggregation)",To find and maintain pipeline components quickly and consistently,1,Folder structure exists and imports resolve; build succeeds,No,,
2,1,Single-finding and multi-finding orchestration,System Administrator,Have shell command execution and SSH access in one shared module (ShellCommandExecutor),To run remediation commands on the target VM from any agent that needs it,1,Executor runs commands via SSH; read_file and write_file available; no duplicate executor code,Yes,,
3,1,Single-finding and multi-finding orchestration,System Administrator,Have scan logic in one shared module so agents can trigger OpenSCAP scans,To verify fixes and check compliance from Remedy and QA without duplicating scan code,1,Scan can be invoked for a finding; returns pass/fail and output; used by Remedy/QA,Yes,,
4,1,Single-finding and multi-finding orchestration,System Administrator,Have a shared LLM wrapper so agents can call the same API and tool pattern,"To keep model and API configuration in one place and reuse across Triage, Remedy, Review, QA",1,One LLM base used by multiple agents; config (e.g. OpenRouter) in one place,No,,
5,1,Single-finding and multi-finding orchestration,Developer,"Have shared utilities (e.g. normalization, error handling) in one module",To avoid duplicate logic and keep behavior consistent across agents,1,Utilities used by at least two agents or pipeline; tests exist for shared utils,No,,
6,1,Single-finding and multi-finding orchestration,Developer,"Have workflow data models (TriageDecision, RemediationAttempt, ReviewVerdict, QAInput, etc.) in schemas",So every agent and the pipeline agree on inputs and outputs,1,Schemas define all pipeline types; pipeline and agents import and use them,No,,
7,1,Single-finding and multi-finding orchestration,Developer,"Have agent class stubs (Triage, Remedy, Review, QA) with a common process() interface",To implement and test each agent in isolation and plug them into the pipeline,1,Four agent modules exist; each has process(input) returning the right output type,No,,
8,1,Single-finding and multi-finding orchestration,Developer,Have a pipeline class stub that runs one finding through the stages,To wire Triage → Remedy → Review → QA in order and return a single result,1,Pipeline.run(vulnerability) exists; calls each agent in sequence; returns FindingResult,Yes,,
9,1,Single-finding and multi-finding orchestration,Developer,Have a concurrency manager stub that can run multiple pipelines,To later run many findings in parallel without blocking,1,Manager accepts a list of findings and a pipeline factory; placeholder for worker pool,No,,
10,1,"Reporting, aggregation, and observability",Developer,Have a result aggregator stub that collects pipeline results,To later produce one report and one playbook from all findings,1,Aggregator accepts list of FindingResult; stub returns or writes a minimal report,No,,
11,1,Single-finding and multi-finding orchestration,User,Have a single entrypoint (e.g. main_multiagent.py) that runs the pipeline from scan or parsed input,To run the full flow with one command instead of separate scripts,1,Entrypoint runs; can use inventory and scan or skip-scan with parsed JSON; produces outputs,Yes,,
12,1,Single-finding and multi-finding orchestration,Developer,Have the legacy adaptive agent moved into a reference location (e.g. legacy_files),To keep the old behavior available without blocking the new pipeline,1,Legacy code moved; imports updated or documented; main pipeline does not depend on it,No,,
13,1,Single-finding and multi-finding orchestration,Developer,Have all import paths and module wiring updated after restructure,So the project builds and runs without broken imports,1,No import errors; pipeline runs one finding end-to-end in a test,No,,
14,1,Single-finding and multi-finding orchestration,Developer,Have build and runtime verified after restructure,To confirm nothing was broken by the refactor,1,Build succeeds; one full pipeline run completes; no runtime errors from structure,Yes,,
15,1,"Secure, standards-aligned scanning and parsing",System Administrator,Have vulnerability scan output parsed into a structured list (e.g. Vulnerability) for the pipeline,To prioritize and process only real findings from the scan,1,"Parser consumes OpenSCAP XML (or equivalent); outputs list of findings with id, title, severity, etc.",Yes,,
