finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,remedy_commands_executed,remedy_scan_passed,remedy_success,remedy_error_summary,remedy_attempt_duration_s,remedy_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
enable_dracut_fips_module,Enable Dracut FIPS Module,3,localhost,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,localhost.localdomain,False,critical,"Enabling the dracut FIPS module changes the system's cryptographic mode and requires a reboot. On an already installed RHEL 9 system, enabling FIPS is not supported and can render the system unbootable, causing loss of access. This aligns with the policy that FIPS changes are marked too dangerous to remediate automatically.",False,reboot required; Potential boot failure; Loss of SSH/console access; System instability; Compliance violation if not properly applied,high,discarded,,0,,,,,,,,,,,,,,,,,,9.707142114639282,1,0,9.699,685,686,1371,0.000157,1,1371,0.000157,9.699,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
enable_fips_mode,Enable FIPS Mode,3,localhost,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding a kernel boot parameter (fips=1) and changing the system cryptographic policy. On an already installed RHEL 9 system this is unsupported and can render the system unbootable, causing loss of console/SSH access. The policy explicitly classifies FIPS changes as too dangerous to remediate automatically.",False,reboot required; authentication/authorization affected; potential boot failure; loss of SSH/console access; incompatible cryptographic libraries; system instability,high,discarded,,0,,,,,,,,,,,,,,,,,,6.226540803909302,1,0,6.221,834,578,1412,0.000283,1,1412,0.000283,6.221,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,localhost,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding the fips=1 kernel boot parameter, which is only supported at installation time. Changing this on an existing RHEL 9 system can prevent the system from booting and may lock out administrators. The finding description explicitly states the fix is not supported on a pre‑existing system, making remediation high risk.",False,reboot required; Potential boot failure; Loss of SSH/console access; System instability due to unsupported FIPS enablement; Non‑compliance if not properly validated,high,discarded,,0,,,,,,,,,,,,,,,,,,10.865441799163818,1,0,10.86,727,681,1408,0.000158,1,1408,0.000158,10.86,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
installed_OS_is_vendor_supported,The Installed Operating System Is Vendor Supported,3,localhost,installed_OS_is_vendor_supported,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,compliance,localhost.localdomain,False,medium,"Remediation requires verifying the OS version and potentially performing a distribution upgrade to a supported release. This operation can affect many services, may require a reboot, and carries risk of system breakage, thus human oversight is needed.",True,reboot required; Unsupported OS version may lack security patches; Upgrade could break existing applications or services; Potential loss of remote access during upgrade,high,requires_human_review,,0,,,,,,,,,,,,,,,,,,7.800221920013428,1,0,7.795,620,583,1203,0.000177,1,1203,0.000177,7.795,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
partition_for_var_tmp,Ensure /var/tmp Located On Separate Partition,2,localhost,partition_for_var_tmp,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,compliance,localhost.localdomain,False,critical,Filesystem/partition/mount-option changes can break boot or services and should not be auto-remediated.,False,reboot required; filesystems affected; filesystems/partitioning; service disruption risk,high,discarded,,0,,,,,,,,,,,,,,,,,,0.0012660026550292969,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
banner_etc_issue,Modify the System Login Banner,2,localhost,banner_etc_issue,xccdf_org.ssgproject.content_rule_banner_etc_issue,compliance,localhost.localdomain,True,low,"The remediation only requires editing /etc/issue to replace the banner text. This is a straightforward file modification that does not affect authentication mechanisms, networking, or boot processes. The change is reversible and unlikely to cause lockout or service disruption.",False,filesystems affected; non‑compliance with DoD banner requirement; potential audit finding if banner is missing or incorrect,low,failed,,2,,False,False,,22.70749306678772,,False,False,5,"The plan correctly creates a backup and sets file permissions, but the banner text supplied is truncated and does not contain the full DoD disclaimer required by the rule. As a result the remediation will likely fail the OpenSCAP check.","Banner text is incomplete – missing several required lines of the DoD disclaimer.; If write_file cannot enforce mode 0644, permissions might remain incorrect.",,,,,,,22.708993911743164,2,0,22.699,3144,1844,4988,0.000974,0,0,0.0,0.0,1,2521,0.000262,15.849,1,2467,0.000713,6.85,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
account_password_pam_faillock_password_auth,Configure the Use of the pam_faillock.so Module in the /etc/pam.d/password-auth File.,2,localhost,account_password_pam_faillock_password_auth,xccdf_org.ssgproject.content_rule_account_password_pam_faillock_password_auth,compliance,localhost.localdomain,True,low,"The remediation adds or ensures the pam_faillock.so module is present in the preauth stack of password-auth, a standard PAM hardening step. The provided script uses authselect when available, which is the recommended method and avoids manual file edits. This change is unlikely to lock out users if applied correctly and does not affect boot or filesystem configuration.",False,authentication/authorization affected; Potential for lockout if pam_faillock thresholds are mis‑configured; Dependency on authselect profile integrity,low,success,1,1,test -x /usr/bin/authselect && echo exists; authselect check; authselect enable-feature with-faillock; authselect apply-changes,True,True,,54.3775360584259,1.594,True,True,8,"The plan correctly uses authselect to enable the with‑faillock feature, which is the recommended method for managing PAM files on Rocky Linux 10. It avoids manual edits and will add the required pam_faillock.so line to the preauth stack of password‑auth.","The plan assumes the 'with‑faillock' feature exists in the current profile; if it does not, the command will fail.; It does not explicitly verify that the user executing the commands has sufficient privileges (root).",True,"The plan uses authselect, the supported mechanism for managing PAM files on Rocky Linux 10, to enable the with‑faillock feature. It checks profile integrity before applying changes, avoids manual edits, and only adds the required pam_faillock.so lines. This is the recommended remediation and is unlikely to break critical services; any impact is limited to normal PAM‑based authentication behavior.",Modification of /etc/pam.d/password-auth and /etc/pam.d/system-auth; Potential temporary authentication failures for users with existing failed login attempts; New login attempts will be subject to faillock lockout thresholds,False,Approve,12.196468830108643,66.21002292633057,14,0,64.672,28125,3427,31552,0.001831,1,1098,0.000169,11.823,11,27253,0.001364,31.698,1,1556,0.000151,8.958,1,1645,0.000148,12.194,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
account_password_pam_faillock_system_auth,Configure the Use of the pam_faillock.so Module in the /etc/pam.d/system-auth File.,2,localhost,account_password_pam_faillock_system_auth,xccdf_org.ssgproject.content_rule_account_password_pam_faillock_system_auth,compliance,localhost.localdomain,True,low,"The remediation uses the standard authselect feature to enable pam_faillock, a common STIG hardening step. It does not modify critical system services beyond authentication and follows documented procedures, making it low risk.",False,"authentication/authorization affected; Potential lockout if the authselect profile is corrupted or not applied correctly; Impact on all PAM‑based authentication (local, SSH, sudo)",low,success,1,1,test -x /usr/bin/authselect && echo exists; authselect current,True,True,,42.60889196395874,1.612,True,False,7,"The plan correctly uses authselect to enable the with‑faillock feature, which will add the required pam_faillock.so lines in the preauth section of system-auth. Ensure you verify that the feature is not already enabled and consider creating a backup before applying changes.","No explicit backup of the current PAM configuration before applying changes.; The plan does not check whether the with‑faillock feature is already enabled, which could cause unnecessary re‑application.",True,"The plan uses the standard authselect workflow to enable the with‑faillock feature, which is the recommended method for RHEL/Rocky systems. It avoids manual edits, is reversible, and adds the required pam_faillock.so lines in the pre‑authentication stack, addressing the vulnerability without introducing high‑risk changes.","Potential account lockout after repeated failed login attempts, which may affect SSH or console logins temporarily",False,Approve,2.2126550674438477,56.56046199798584,12,0,55.665,21458,2887,24345,0.00181,1,1283,0.000426,13.944,9,20126,0.001016,29.71,1,1452,0.000133,9.801,1,1484,0.000235,2.211,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
accounts_passwords_pam_faillock_deny,Lock Accounts After Failed Password Attempts,2,localhost,accounts_passwords_pam_faillock_deny,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny,compliance,localhost.localdomain,False,low,"The remediation only modifies PAM configuration via authselect or direct edits to standard PAM files. This follows typical STIG hardening patterns and does not involve kernel, bootloader, or filesystem changes. While an incorrect deny value could lock out accounts, the risk is manageable with proper testing.",True,authentication/authorization affected; Potential account lockout if deny count is set to 0 or too low; Misconfiguration of PAM could prevent all logins,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,2.6193509101867676,1,0,2.614,889,526,1415,0.000352,1,1415,0.000352,2.614,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
accounts_passwords_pam_faillock_deny_root,Configure the root Account for Failed Password Attempts,2,localhost,accounts_passwords_pam_faillock_deny_root,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny_root,compliance,localhost.localdomain,False,low,"The remediation modifies PAM configuration using authselect or controlled file edits, which is a standard STIG hardening step. When applied via authselect the change is reversible and does not require a reboot, minimizing risk of lockout.",True,authentication/authorization affected; potential root account lockout if PAM syntax is incorrect; possible loss of SSH access if auth stack is broken,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,1.3488750457763672,1,0,1.346,875,573,1448,0.000475,1,1448,0.000475,1.346,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
